36,6	1,56	1,31
31,2	1,72	1,46
71,2	3,54	
38	1,66	1,41
40,3	1,27	
29,3	2,31	2,06
117,6	5,27	
49,5	1,66	
21,2	1,38	1,12
39,4	1,25	1
55	1,99	
23,7	1,55	1,3
27,4	1,9	1,65
56,5	1,11	
14,2	1,12	
35,9	1,3	
19,4	0,88	
36,1	1,19	
24,6	1,25	
39,9	1,19	
28,1	1,62	
23,2	0,91	
